DMU,Garage,Efficiency,Efficient
1,Winchester,0.8353963532226079,No
2,Andover,0.9173789173789176,No
3,Basingstoke,0.9999999999999997,Yes
4,Poole,0.8644668903402878,No
5,Woking,0.844999750842752,No
6,Newbury,1.000000000000001,Yes
7,Portsmouth,0.9999999999999999,Yes
8,Alresford,0.9999999999999998,Yes
9,Salisbury,0.9999999999999996,Yes
10,Guildford,0.8024387659836942,No
11,Alton,1.0000000000000009,Yes
12,Weybridge,0.8543451652386789,No
13,Dorchester,0.866522388989225,No
14,Bridport,0.9815723686629167,No
15,Weymouth,0.9999999999999992,Yes
16,Portland,0.9999999999999984,Yes
17,Chichester,0.8254171263793667,No
18,Petersfield,1.000000000000002,Yes
19,Petworth,0.9878360994000829,No
20,Midhurst,0.8888082972530791,No
21,Reading,0.9839666828099984,No
22,Southampton,1.000000000000002,Yes
23,Bournemouth,1.0000000000000009,Yes
24,Henley,1.0,Yes
25,Maidenhead,1.0,Yes
26,Fareham,0.9999999999999998,Yes
27,Romsey,1.000000000000001,Yes
28,Ringwood,0.9075018208303001,No
